,level_0,index,image_id,mask,group,histogram
10,10,test_unknown_1300_bronze_cantor_eyebrow_nose_mask,test_unknown_1300_bronze_cantor,eyebrow_nose_mask,2,"[2. 0. 0. 0. 4. 2. 1. 0. 3. 1. 1. 0. 1. 0. 3. 1. 1. 2. 9. 2. 1. 1. 1. 0.
 6. 4. 0. 5. 2. 1. 0. 0. 0. 2. 1. 2. 0. 1. 2. 4. 3. 0. 1. 0. 1. 0. 1. 5.
 2. 0. 0. 0. 0. 2. 2. 0. 2. 1. 0. 2. 2. 2. 0. 1. 0. 1. 2. 0. 3. 0. 2. 2.
 2. 1. 0. 0. 1. 0. 2. 2. 0. 1. 0. 1. 1. 2. 3. 3. 0. 2. 3. 1. 0. 2. 0. 0.
 4. 3. 5. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0. 1. 1. 1. 6. 1. 2. 1. 0. 0. 0.
 1. 0. 1. 0. 1. 0. 0. 1. 1. 0. 0. 2. 2. 2. 1. 0. 1. 1. 2. 3. 1. 3. 2. 0.
 2. 0. 1. 2. 1. 1. 5. 0. 0. 3. 1. 0. 0. 0. 1. 4. 2. 1. 0. 4. 1. 0. 1. 0.
 4. 1. 0. 0. 2. 0. 1. 2. 5. 0. 3. 1. 0. 2. 0. 3. 1. 0. 1. 0. 2. 1. 0. 1.
 1. 0. 1. 0. 1. 0. 0. 0.]"
11,11,test_ayutthaya_u_thong_1300_1400_bronze_walters_eyebrow_nose_mask,test_ayutthaya_u_thong_1300_1400_bronze_walters,eyebrow_nose_mask,2,"[1. 0. 0. 0. 2. 0. 1. 0. 0. 2. 1. 1. 2. 1. 1. 1. 2. 2. 0. 1. 0. 4. 0. 0.
 1. 2. 0. 1. 0. 0. 5. 2. 0. 1. 0. 0. 1. 1. 1. 1. 0. 1. 0. 1. 2. 0. 1. 1.
 0. 0. 2. 1. 0. 0. 0. 0. 0. 2. 0. 1. 0. 2. 0. 0. 0. 1. 1. 4. 0. 0. 2. 0.
 0. 0. 1. 4. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 2. 1. 0. 1. 1. 0. 0. 1.
 0. 0. 0. 1. 2. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 2. 0. 0. 0. 0. 0. 0. 1.
 0. 0. 0. 1. 0. 1. 1. 0. 4. 0. 0. 1. 1. 0. 1. 1. 1. 0. 1. 0. 0. 1. 0. 0.
 4. 1. 1. 1. 0. 2. 1. 0. 0. 1. 1. 2. 0. 1. 1. 2. 0. 0. 0. 3. 0. 0. 0. 1.
 0. 0. 0. 3. 0. 1. 1. 0. 1. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0.
 2. 0. 0. 0. 0. 0. 1. 0.]"
12,12,ayutthaya_1700_bronze_smithsonian_eyebrow_nose_mask,ayutthaya_1700_bronze_smithsonian,eyebrow_nose_mask,1,"[ 0.  1.  0.  0.  0.  1.  0.  1.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.
  1.  0.  3.  0.  6.  2. 16.  2.  1.  0.  0.  1.  0.  0.  1.  0.  0.  3.
  1.  0.  0.  2.  2.  0.  0.  0.  0.  0.  0.  5.  0.  0.  0.  1.  0.  1.
  0.  0.  0.  0.  1.  0.  0.  2.  0.  0.  1.  0.  0.  1.  0.  0.  2.  0.
  0.  0.  0.  0.  0.  0.  2.  0.  2.  1.  2.  0.  0.  0.  3.  1.  0.  0.
  0.  1.  1.  0.  0.  1.  3.  2.  0.  1.  1.  0.  0.  2.  3.  0.  1.  0.
  1.  0.  8.  0.  0.  0.  0.  2.  2.  0.  0.  3.  1.  2.  0.  0.  0.  0.
  0.  1.  3.  1.  0.  2.  0.  0.  0.  1.  2.  0.  0.  0.  0.  1.  0.  0.
  1.  0.  0.  2.  0.  0.  5.  0.  1.  0.  0.  1.  0.  0.  1.  1.  1.  0.
  0.  0.  0.  4.  2.  1.  3.  0.  0.  1.  0.  1.  0.  0.  1.  1.  1.  0.
  0.  0.  2.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  0.  0.  0.  0.
  3.  0.]"
13,13,sukhothai_1600_1700_bronze_ACM_personal_eyebrow_nose_mask,sukhothai_1600_1700_bronze_ACM_personal,eyebrow_nose_mask,0,"[0. 3. 0. 1. 0. 0. 4. 0. 0. 5. 0. 1. 0. 2. 3. 0. 0. 0. 1. 4. 2. 2. 7. 1.
 1. 3. 0. 1. 0. 2. 2. 1. 1. 1. 3. 1. 1. 0. 0. 2. 2. 0. 2. 1. 3. 3. 0. 4.
 1. 0. 3. 2. 0. 0. 3. 1. 0. 0. 1. 0. 1. 4. 0. 3. 5. 1. 2. 1. 2. 1. 1. 0.
 2. 0. 1. 0. 5. 1. 3. 0. 4. 2. 0. 0. 0. 0. 1. 3. 0. 2. 1. 0. 0. 1. 1. 1.
 2. 1. 0. 2. 0. 0. 2. 0. 0. 0. 1. 0. 2. 3. 0. 2. 2. 0. 3. 1. 3. 0. 1. 1.
 0. 2. 0. 0. 1. 0. 0. 1. 0. 0. 0. 2. 3. 3. 1. 1. 0. 1. 2. 1. 1. 0. 0. 0.
 2. 1. 0. 2. 1. 2. 3. 1. 0. 2. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0.
 1. 0. 0. 0. 2. 2. 3. 0. 2. 0. 2. 0. 1. 5. 1. 3. 0. 0. 0. 1. 2. 0. 0. 1.
 0. 0. 0. 0. 3. 1. 1. 0.]"
14,14,test_unknown_1500_1600_stone_met_eyebrow_nose_mask,test_unknown_1500_1600_stone_met,eyebrow_nose_mask,2,"[ 0.  6.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  2.  0.  0.  0.  2.  0. 17.  3.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  2.  0.  0.  0.  0.  0.  5.  0.  0.  0.  0.  1.  0.  0.  1.  0.
  0.  0.  0.  1.  0.  0.  1.  0.  2.  0.  0.  0.  0.  0.  0.  0.  0.  1.
  3.  0.  0.  0.  0.  0.  2.  0.  0.  0.  2.  2.  0.  0.  0.  0.  0.  0.
  0.  1.  0.  0.  0.  5.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  2.  1.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  6.  0.  0.  1.  0.  0.  0.  0.  0.  0.  1.  0.
  0.  0.  0.  0.  1.  0.  1.  0.  0.  0.  1.  0.  0.  0.  1.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  3.  0.  0.  0.  1.  0.  0.  0.  0.  0.
  1.  0.]"
15,15,ayutthaya_1700_tin_brass_walters_eyebrow_nose_mask,ayutthaya_1700_tin_brass_walters,eyebrow_nose_mask,1,"[1. 1. 0. 0. 0. 0. 2. 0. 5. 1. 1. 1. 1. 2. 2. 1. 0. 3. 6. 1. 0. 0. 0. 2.
 2. 1. 0. 2. 1. 1. 0. 1. 0. 1. 0. 0. 0. 0. 1. 1. 1. 0. 2. 0. 1. 0. 2. 2.
 0. 1. 4. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 2. 1. 3. 0. 1. 2. 1. 1. 3. 1.
 3. 0. 1. 0. 4. 0. 3. 3. 2. 1. 2. 0. 1. 0. 1. 1. 1. 1. 3. 0. 1. 0. 0. 1.
 2. 0. 2. 0. 0. 0. 0. 1. 1. 1. 0. 2. 0. 0. 1. 1. 2. 2. 1. 2. 1. 0. 0. 3.
 0. 2. 1. 0. 1. 0. 1. 1. 3. 0. 0. 1. 2. 0. 0. 0. 1. 0. 2. 1. 0. 1. 0. 0.
 1. 0. 1. 1. 0. 1. 5. 0. 1. 1. 0. 0. 0. 0. 1. 1. 2. 0. 1. 0. 1. 0. 0. 0.
 2. 0. 0. 1. 2. 0. 1. 0. 1. 0. 0. 1. 1. 3. 0. 4. 1. 0. 2. 2. 1. 0. 2. 1.
 1. 3. 1. 2. 0. 0. 0. 0.]"
16,16,sukhothai_1584_metal_ACM_personal_eyebrow_nose_mask,sukhothai_1584_metal_ACM_personal,eyebrow_nose_mask,0,"[0. 0. 0. 0. 0. 1. 0. 0. 2. 1. 0. 0. 0. 0. 0. 3. 0. 2. 0. 0. 0. 0. 0. 1.
 4. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 1. 0. 3. 1. 1. 0. 0. 2.
 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 2. 1. 1. 0. 1. 0. 0.
 0. 0. 2. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 1. 1. 1. 2. 0. 0. 0. 0. 1.
 0. 0. 0. 0. 2. 0. 0. 2. 1. 0. 0. 2. 1. 0. 0. 2. 2. 1. 0. 1. 1. 0. 0. 1.
 0. 0. 1. 0. 2. 0. 0. 0. 0. 0. 1. 1. 2. 0. 1. 1. 0. 3. 0. 0. 0. 0. 1. 0.
 1. 0. 1. 0. 1. 0. 2. 0. 0. 2. 0. 0. 0. 0. 0. 0. 0. 2. 0. 0. 2. 0. 0. 0.
 0. 0. 0. 2. 1. 0. 0. 0. 4. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 3. 0. 1. 1.]"
17,17,sukhothai_ayutthaya_1400_1500_victoria_albert_eyebrow_nose_mask,sukhothai_ayutthaya_1400_1500_victoria_albert,eyebrow_nose_mask,0,"[2. 3. 0. 1. 1. 2. 1. 4. 3. 4. 4. 0. 2. 1. 3. 2. 2. 2. 4. 4. 5. 0. 5. 0.
 1. 5. 3. 0. 0. 2. 1. 1. 4. 2. 3. 4. 2. 1. 1. 7. 1. 1. 2. 2. 2. 4. 2. 3.
 2. 1. 4. 7. 0. 4. 1. 3. 2. 3. 5. 2. 3. 3. 3. 0. 5. 4. 2. 4. 1. 0. 2. 2.
 2. 1. 2. 2. 9. 6. 6. 1. 4. 3. 2. 5. 6. 3. 2. 0. 2. 1. 4. 2. 2. 2. 4. 1.
 3. 2. 3. 0. 0. 1. 1. 4. 4. 0. 1. 0. 1. 2. 7. 2. 1. 1. 3. 1. 2. 1. 2. 4.
 0. 2. 0. 2. 5. 2. 1. 2. 1. 1. 0. 1. 0. 3. 0. 1. 1. 4. 4. 0. 2. 3. 1. 0.
 1. 2. 4. 9. 1. 9. 1. 5. 5. 7. 4. 0. 1. 0. 0. 2. 3. 0. 1. 1. 0. 8. 0. 1.
 9. 0. 1. 0. 4. 0. 2. 0. 2. 5. 4. 4. 2. 0. 0. 1. 2. 1. 2. 1. 3. 3. 1. 0.
 2. 4. 1. 3. 3. 1. 1. 0.]"
18,18,sukhothai_ayutthaya_1400_1500_walters_eyebrow_nose_mask,sukhothai_ayutthaya_1400_1500_walters,eyebrow_nose_mask,0,"[0. 0. 1. 0. 4. 1. 0. 0. 0. 4. 0. 1. 4. 2. 4. 2. 2. 3. 1. 2. 1. 3. 5. 4.
 6. 3. 1. 3. 4. 3. 0. 4. 1. 1. 2. 0. 1. 1. 1. 3. 1. 1. 2. 1. 2. 2. 2. 3.
 0. 1. 0. 2. 3. 3. 2. 2. 2. 0. 2. 4. 2. 3. 3. 4. 0. 0. 3. 3. 1. 1. 3. 1.
 1. 0. 1. 3. 3. 1. 1. 1. 0. 2. 1. 1. 0. 0. 0. 3. 3. 3. 0. 0. 0. 2. 0. 3.
 2. 2. 5. 0. 2. 0. 0. 1. 2. 0. 0. 2. 0. 1. 3. 1. 1. 1. 1. 4. 0. 3. 3. 0.
 2. 0. 1. 0. 0. 1. 1. 0. 3. 1. 0. 3. 1. 0. 2. 1. 1. 0. 3. 9. 1. 1. 1. 0.
 1. 0. 1. 2. 1. 1. 2. 0. 3. 1. 1. 6. 2. 1. 1. 2. 0. 0. 1. 3. 0. 0. 0. 1.
 0. 2. 0. 1. 0. 1. 2. 1. 5. 1. 0. 1. 5. 1. 2. 0. 1. 1. 2. 1. 1. 1. 5. 1.
 1. 3. 4. 1. 0. 2. 3. 1.]"
19,19,test_ayutthaya_1500_copper_LACMA_cropped_eyebrow_nose_mask,test_ayutthaya_1500_copper_LACMA_cropped,eyebrow_nose_mask,2,"[ 1.  0.  0.  1.  1.  0.  1.  2.  2.  1.  0.  0.  1.  0.  0.  0.  0.  1.
  3.  0.  0.  3.  4.  1. 10.  2.  3.  0.  3.  4.  1.  1.  0.  0.  1.  0.
  0.  2.  0.  4.  2.  0.  1.  0.  2.  2.  0.  2.  1.  0.  2.  3.  0.  0.
  1.  3.  1.  0.  2.  2.  0.  2.  0.  2.  0.  1.  2.  2.  3.  1.  1.  0.
  1.  0.  1.  1.  1.  1.  0.  0.  0.  4.  3.  2.  0.  1.  1.  0.  1.  2.
  2.  2.  0.  0.  0.  0.  2.  0.  0.  0.  3.  0.  1.  1.  1.  0.  1.  0.
  0.  0.  0.  0.  0.  0.  1.  0.  0.  2.  0.  3.  0.  0.  0.  0.  0.  0.
  1.  0.  2.  1.  1.  1.  0.  0.  0.  0.  0.  0.  2.  0.  1.  0.  1.  0.
  1.  1.  0.  3.  0.  1.  3.  0.  0.  0.  0.  2.  1.  0.  0.  1.  0.  0.
  0.  1.  1.  1.  2.  0.  0.  0.  0.  0.  1.  0.  0.  0.  2.  0.  1.  2.
  0.  3.  0.  2.  1.  0.  0.  0.  4.  0.  0.  0.  0.  1.  0.  0.  1.  0.
  3.  2.]"
